year,make,model,trim,design_number
2026,CHEVROLET,COLORADO,LT,K3389-100
2026,CHEVROLET,COLORADO,LT,K3390-100
2026,CHEVROLET,COLORADO,LT,K3390-120
2026,CHEVROLET,COLORADO,LT,K3390-121
2026,CHEVROLET,COLORADO,LT,K3391-100
2026,CHEVROLET,COLORADO,LT,K3391-224
2026,CHEVROLET,COLORADO,LT,K3392-100
2026,CHEVROLET,COLORADO,LT,K3394-100
2026,CHEVROLET,COLORADO,LT,K3395-100
2026,CHEVROLET,COLORADO,LT,K3396-100
2026,CHEVROLET,COLORADO,LT,K3397-100
2026,CHEVROLET,COLORADO,LT,K3398-100
2026,CHEVROLET,COLORADO,LT,K3400-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,F1447-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3388-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3388-102
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3388-103
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3389-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3390-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3390-120
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3390-121
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3391-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3391-224
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3392-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3394-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3395-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3396-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3397-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3398-100
2026,CHEVROLET,COLORADO,TRAIL BOSS,K3400-100
2026,CHEVROLET,COLORADO,WT,F1447-100
2026,CHEVROLET,COLORADO,WT,K3388-100
2026,CHEVROLET,COLORADO,WT,K3388-102
2026,CHEVROLET,COLORADO,WT,K3388-103
2026,CHEVROLET,COLORADO,WT,K3389-100
2026,CHEVROLET,COLORADO,WT,K3390-100
2026,CHEVROLET,COLORADO,WT,K3390-120
2026,CHEVROLET,COLORADO,WT,K3390-121
2026,CHEVROLET,COLORADO,WT,K3391-100
2026,CHEVROLET,COLORADO,WT,K3391-224
2026,CHEVROLET,COLORADO,WT,K3392-100
2026,CHEVROLET,COLORADO,WT,K3394-100
2026,CHEVROLET,COLORADO,WT,K3395-100
2026,CHEVROLET,COLORADO,WT,K3396-100
2026,CHEVROLET,COLORADO,WT,K3397-100
2026,CHEVROLET,COLORADO,WT,K3398-100
2026,CHEVROLET,COLORADO,WT,K3400-100
2026,CHEVROLET,COLORADO,Z71,F1447-100
2026,CHEVROLET,COLORADO,Z71,K3388-100
2026,CHEVROLET,COLORADO,Z71,K3388-102
2026,CHEVROLET,COLORADO,Z71,K3388-103
2026,CHEVROLET,COLORADO,Z71,K3389-100
2026,CHEVROLET,COLORADO,Z71,K3390-100
2026,CHEVROLET,COLORADO,Z71,K3390-120
2026,CHEVROLET,COLORADO,Z71,K3390-121
2026,CHEVROLET,COLORADO,Z71,K3391-100
2026,CHEVROLET,COLORADO,Z71,K3391-224
2026,CHEVROLET,COLORADO,Z71,K3392-100
2026,CHEVROLET,COLORADO,Z71,K3394-100
2026,CHEVROLET,COLORADO,Z71,K3395-100
2026,CHEVROLET,COLORADO,Z71,K3396-100
2026,CHEVROLET,COLORADO,Z71,K3397-100
2026,CHEVROLET,COLORADO,Z71,K3398-100
2026,CHEVROLET,COLORADO,Z71,K3400-100
2026,CHEVROLET,COLORADO,ZR2,F1447-100
2026,CHEVROLET,COLORADO,ZR2,K3388-100
2026,CHEVROLET,COLORADO,ZR2,K3388-102
2026,CHEVROLET,COLORADO,ZR2,K3388-103
2026,CHEVROLET,COLORADO,ZR2,K3389-100
2026,CHEVROLET,COLORADO,ZR2,K3390-100
2026,CHEVROLET,COLORADO,ZR2,K3390-120
2026,CHEVROLET,COLORADO,ZR2,K3390-121
2026,CHEVROLET,COLORADO,ZR2,K3391-100
2026,CHEVROLET,COLORADO,ZR2,K3391-224
2026,CHEVROLET,COLORADO,ZR2,K3392-100
2026,CHEVROLET,COLORADO,ZR2,K3394-100
2026,CHEVROLET,COLORADO,ZR2,K3395-100
2026,CHEVROLET,COLORADO,ZR2,K3396-100
2026,CHEVROLET,COLORADO,ZR2,K3397-100
2026,CHEVROLET,COLORADO,ZR2,K3398-100
2026,CHEVROLET,COLORADO,ZR2,K3400-100
